No.,US-Equity-SNP,US-Equity-1000,US-Equity-Russell-2000,US-Equity-All
1,AAPL,AAPL,SMCI,SMCI
2,MSFT,MSFT,ELF,ELF
3,AMZN,AMZN,FIX,FIX
4,NVDA,NVDA,MSTR,MSTR
5,GOOG,GOOG,ONTO,ONTO
6,TSLA,TSLA,SSD,SSD
7,META,META,LNW,LNW
8,BRK-B,BRK-B,PCVX,PCVX
9,XOM,XOM,BRBR,BRBR
10,LLY,LLY,NXT,NXT
11,UNH,UNH,FN,FN
12,JPM,JPM,APG,APG
13,V,V,CYTK,CYTK
14,JNJ,JNJ,AIT,AIT
15,PG,PG,WFRD,WFRD
16,AVGO,AVGO,SPSC,SPSC
17,MA,MA,UFPI,UFPI
18,HD,HD,ITCI,ITCI
19,CVX,CVX,CHRD,CHRD
20,MRK,MRK,HQY,HQY
21,ABBV,ABBV,RHP,RHP
22,ADBE,ADBE,MTDR,MTDR
23,COST,COST,SSB,SSB
24,PEP,PEP,ENSG,ENSG
25,CSCO,CSCO,CMC,CMC
26,WMT,WMT,SIGI,SIGI
27,KO,KO,QLYS,QLYS
28,CRM,CRM,RMBS,RMBS
29,ACN,ACN,FLR,FLR
30,TMO,TMO,ATI,ATI
31,MCD,MCD,TMHC,TMHC
32,NFLX,NFLX,CHX,CHX
33,BAC,BAC,TENB,TENB
34,PFE,PFE,NOVT,NOVT
35,ORCL,ORCL,MUR,MUR
36,LIN,LIN,ANF,ANF
37,CMCSA,CMCSA,MARA,MARA
38,ABT,ABT,AAON,AAON
39,AMD,AMD,PBF,PBF
40,DHR,DHR,GTLS,GTLS
41,INTC,INTC,BCC,BCC
42,INTU,INTU,MLI,MLI
43,WFC,WFC,PR,PR
44,TXN,TXN,MTH,MTH
45,COP,COP,ATKR,ATKR
46,DIS,DIS,OPCH,OPCH
47,CAT,CAT,ESNT,ESNT
48,PM,PM,BECN,BECN
49,VZ,VZ,CVNA,CVNA
50,LOW,LOW,DUOL,DUOL
51,T,T,WTS,WTS
52,BA,BA,VRNS,VRNS
53,C,C,FTAI,FTAI
54,AMGN,AMGN,ALKS,ALKS
55,MDT,MDT,SFM,SFM
56,MMM,MMM,BPMC,BPMC
57,IBM,IBM,NSIT,NSIT
58,UNP,UNP,TRNO,TRNO
59,PYPL,PYPL,CIVI,CIVI
60,HON,HON,CWST,CWST
61,NKE,NKE,MMS,MMS
62,MO,MO,IBP,IBP
63,UPS,UPS,STNE,STNE
64,EMN,EMN,EXLS,EXLS
65,GL,GL,ALTR,ALTR
66,ROL,ROL,ASO,ASO
67,JNPR,JNPR,NE,NE
68,UHS,UHS,COOP,COOP
69,REG,REG,ONB,ONB
70,NCLH,NCLH,SPXC,SPXC
71,CPB,CPB,FSS,FSS
72,MKTX,MKTX,ALTM,ALTM
73,AOS,AOS,KRG,KRG
74,PNW,PNW,SIG,SIG
75,FOXA,FOXA,SUM,SUM
76,HII,HII,ZWS,ZWS
77,KEY,KEY,UBSI,UBSI
78,NRG,NRG,MTSI,MTSI
79,GNRC,GNRC,WK,WK
80,FFIV,FFIV,ASGN,ASGN
81,RHI,RHI,HALO,HALO
82,XRAY,XRAY,SM,SM
83,BBWI,BBWI,CBT,CBT
84,WHR,WHR,APPF,APPF
85,BXP,BXP,BCPC,BCPC
86,BIO,BIO,FELE,FELE
87,CTLT,CTLT,BMI,BMI
88,PARA,PARA,ABG,ABG
89,HAS,HAS,ETRN,ETRN
90,IVZ,IVZ,GKOS,GKOS
91,BEN,BEN,SLAB,SLAB
92,NWSA,NWSA,HOMB,HOMB
93,WRK,WRK,GATX,GATX
94,FRT,FRT,MMSI,MMSI
95,ALK,ALK,FCFS,FCFS
96,AIZ,AIZ,KBH,KBH
97,DXC,DXC,BBIO,BBIO
98,SEE,SEE,AEL,AEL
99,VFC,VFC,HLNE,HLNE
